,File_name,Prediction_whole_file,Prediction_top_comp,Prediction_random_comp
0,nVMrJLmO_cough.flac,0.5002174721428376,0.5001048013955547,0.5001048013955547
1,EjRdWPtJ_cough.flac,0.4755136321934301,0.4754125486065171,0.4754125486065171
2,BRdoMJMm_cough.flac,0.4872343971816606,0.4872368215221024,0.4872368215221024
3,UuHfTYlk_cough.flac,0.4741589238423325,0.47415866131458345,0.47415866131458345
4,LjYGsZud_cough.flac,0.4644794550187903,0.4645813241627175,0.4645813241627175
5,uttKLPRN_cough.flac,0.3359806301239126,0.33603553992988533,0.33603553992988533
6,ZcoERXOH_cough.flac,0.49130413285760227,0.49130263328225904,0.49130263328225904
7,mBChVCnH_cough.flac,0.5168435603849288,0.5168435603849288,0.5168435603849288
8,PQFgfbUS_cough.flac,0.1376377461248996,0.13772781990980248,0.13772781990980248
9,NRqOgeKQ_cough.flac,0.3378733352574103,0.3378550485144792,0.3378550485144792
10,gAqYALTA_cough.flac,0.5579792935432984,0.5580116051715839,0.5580116051715839
11,GlXwoDJV_cough.flac,0.469383407717315,0.469383407717315,0.469383407717315
12,FIkPFFrj_cough.flac,0.4001116693381576,0.40011018454580927,0.40011018454580927
13,jqMxtoFj_cough.flac,0.4305833633889852,0.43057500730022946,0.43057500730022946
14,uewkcQlh_cough.flac,0.5090261590451308,0.509024650499353,0.509024650499353
15,TlYUYXmp_cough.flac,0.41827959040754464,0.4182782246590958,0.4182782246590958
16,CzXcnnae_cough.flac,0.5539811538328618,0.5540306499379566,0.5540306499379566
17,oazWXRYK_cough.flac,0.5763307068923548,0.5764035141489992,0.5764035141489992
18,gpWnRpoa_cough.flac,0.490465162547531,0.4904037362774262,0.4904037362774262
19,fevXMvOT_cough.flac,0.5123266369171923,0.5123267009394316,0.5123267009394316
20,BFPruVfc_cough.flac,0.3962630997150095,0.3962172588995396,0.3962172588995396
21,UVQmKptk_cough.flac,0.4660116133643769,0.4660116133643769,0.4660116133643769
22,YjrUbGnS_cough.flac,0.4440070261282324,0.4440288315737361,0.4440288315737361
23,WwNisFBz_cough.flac,0.5726612663814489,0.5720061090007913,0.5720061090007913
24,IjqtYfKq_cough.flac,0.4144410408244946,0.4144410408244946,0.4144410408244946
